id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
9337407;с. Амурзет, ул. Гагарина, д. 24;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;47.693228;Не заполнено;Не заполнено;131.096512;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9340054;с. Амурзет, ул. Гагарина, д. 62;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;47.695538;Не заполнено;Не заполнено;131.098632;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
8488153;с. Амурзет, ул. Гагарина, д. 63;;Сборный;1969;0.0;Центральное;50.0;Центральное;1;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Отсутствует;2;1;0;Отсутствует;Отсутствует;Отсутствует;Отсутствует;На счете регионального оператора;3238.0;47.695108;16;737.0;131.098767;"ООО ""Альянс""";0;0.0;Не заполнено;Железобетонные;0.00;Имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);16;типовой;Не имеется;795.5;Многоквартирный дом;392.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1969;Нет
8488156;с. Амурзет, ул. Гагарина, д. 67;;Ленточный;1970;0.0;Центральное;55.6;Центральное;1;0;Не заполнено;2;Не заполнено;Соответствует материалу стен;Отсутствует;2;1;0;Отсутствует;Отсутствует;Отсутствует;Отсутствует;На счете регионального оператора;3345.0;47.695005;16;752.6;131.09697;"ООО ""Альянс""";0;0.0;Не заполнено;Смешанные;0.00;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);16;типовой;Не имеется;807.5;Многоквартирный дом;0.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1970;Нет
6651374;с. Амурзет, ул. Гагарина, д. 72;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;47.69552;Не заполнено;50.0;131.095048;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;70.0;Многоквартирный дом;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1948;Да
8734497;с. Амурзет, ул. Гагарина, д. 80;;Ленточный;1964;Не заполнено;Центральное;469.8;Центральное;1;0;Не присвоен;2;Не заполнено;Соответствует материалу стен;Отсутствует;4;4;Не заполнено;Отсутствует;Автономное;Наружные водостоки;Центральное (закрытая система);На специальном счете организации;3939.0;47.69552;32;1193.4;131.095048;"ТСЖ ""Наш дом""";0;0.0;Не заполнено;Железобетонные;Не заполнено;Не имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);32;кирпичный;Не имеется;1193.4;Многоквартирный дом;338.8;Приточная вентиляция;Каменные, кирпичные;Центральное;Центральное;1964;Нет
6661152;с. Амурзет, ул. Гагарина, д. 142;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;47.695375;Не заполнено;72.0;131.098614;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;86.7;Многоквартирный дом;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1964;Да
6661174;с. Амурзет, ул. Гагарина, д. 148;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;0;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;47.695375;Не заполнено;73.0;131.098614;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;87.0;Многоквартирный дом;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;1964;Да
6463379;с. Амурзет, ул. Дзержинского, д. 3;;Иной;1985;Не заполнено;Центральное;Не заполнено;Центральное;1;Не заполнено;Не заполнено;5;Не заполнено;Соответствует материалу стен;Отсутствует;5;Не заполнено;Не заполнено;Отсутствует;Центральное;Наружные водостоки;Центральное (закрытая система);На счете регионального оператора;5952.0;47.692476;69;3205.0;131.087763;"ТСЖ ""Солнышко""";1;250.0;Не заполнено;Железобетонные;Не заполнено;Имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);69;Не заполнено;Имеется;3455.0;Многоквартирный дом;868.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1985;Нет
8760276;с. Амурзет, ул. Дзержинского, д. 3 А;;Не заполнено;1987;Не заполнено;Центральное;347.5;Центральное;1;Не заполнено;Не заполнено;2;Не заполнено;Нет данных;Отсутствует;3;Не заполнено;Не заполнено;Отсутствует;Центральное;Наружные водостоки;Центральное (закрытая система);На счете регионального оператора;3963.0;47.69341;Не заполнено;1007.8;131.087592;"ТСЖ ""Солнышко""";Не заполнено;Не заполнено;Не заполнено;Железобетонные;Не заполнено;Имеется;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18;Не заполнено;Не имеется;1363.3;Многоквартирный дом;269.1;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1987;Нет
