id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
9097428;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 150;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.512946;Не заполнено;Не заполнено;43.685593;"МУП ""Объединение общежитий""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9097429;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 152;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.512946;Не заполнено;Не заполнено;43.685593;"МУП ""Объединение общежитий""";Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
8137318;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 153;;Ленточный;1977;0.0;Центральное;1662.4;Центральное;1;0;D;3;Не заполнено;Оштукатуренный;Отсутствует;4;4;0;Отсутствует;Центральное;Наружные водостоки;Автономная котельная (крышная, встроенно-пристроенная);На счете регионального оператора;1275.0;43.51532;24;1416.8;43.700281;Не заполнено;0;0.0;Не заполнено;Железобетонные;0.00;Не имеется;Плоская;Из рулонных материалов;24;типовой;Не имеется;1662.4;Многоквартирный дом;572.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1977;Нет
8137328;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 155;;Ленточный;1977;0.0;Центральное;1672.8;Центральное;1;0;D;3;Не заполнено;Оштукатуренный;Отсутствует;4;4;0;Отсутствует;Центральное;Наружные водостоки;Автономная котельная (крышная, встроенно-пристроенная);На счете регионального оператора;1275.0;43.523027;24;1444.5;43.715013;Не заполнено;0;0.0;Не заполнено;Железобетонные;0.00;Не имеется;Плоская;Из рулонных материалов;24;типовой;Не имеется;1672.8;Многоквартирный дом;572.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1977;Нет
8137336;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 157;;Ленточный;1977;0.0;Центральное;1653.0;Центральное;1;0;D;3;Не заполнено;Оштукатуренный;Отсутствует;4;4;0;Отсутствует;Центральное;Наружные водостоки;Автономная котельная (крышная, встроенно-пристроенная);На счете регионального оператора;1275.0;43.51532;24;1419.3;43.700281;Не заполнено;0;480.9;Не заполнено;Железобетонные;0.00;Не имеется;Плоская;Из рулонных материалов;24;типовой;Не имеется;1653.0;Многоквартирный дом;572.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1977;Нет
9032193;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 159;;Не заполнено;Не заполнено;Не заполнено;Центральное;Не заполнено;Центральное;1;0;Не присвоен;1;Не заполнено;Нет данных;Не заполнено;5;Не заполнено;0;Не заполнено;Отсутствует;Не заполнено;Центральное (закрытая система);Не заполнено;0.0;43.51532;Не заполнено;1930.28;43.700281;Не заполнено;Не заполнено;831.22;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Нет данных;Нет данных;56;кирпичный;Не заполнено;2761.5;Многоквартирный дом;679.4;Не заполнено;Каменные, кирпичные;Центральное;Центральное;1987;Нет
8137344;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 161;;Ленточный;1977;0.0;Центральное;1672.8;Центральное;1;0;Не присвоен;3;Не заполнено;Оштукатуренный;Отсутствует;4;4;0;Отсутствует;Центральное;Наружные водостоки;Автономная котельная (крышная, встроенно-пристроенная);На счете регионального оператора;1275.0;43.512946;24;1393.4;43.685593;"ООО  ""ЖЭК-8""";0;0.0;Не заполнено;Железобетонные;0.00;Не имеется;Плоская;Из рулонных материалов;24;типовой;Не имеется;1672.8;Многоквартирный дом;572.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1977;Нет
8137349;г. Нальчик, пгт. Адиюх, ш. Нарткалинское, д. 163;;Ленточный;1977;0.0;Центральное;1672.8;Центральное;1;0;D;3;Не заполнено;Оштукатуренный;Отсутствует;4;4;0;Отсутствует;Центральное;Наружные водостоки;Автономная котельная (крышная, встроенно-пристроенная);На счете регионального оператора;1275.0;43.522275;24;1394.6;43.715552;Не заполнено;0;0.0;Не заполнено;Железобетонные;0.00;Не имеется;Плоская;Из рулонных материалов;24;типовой;Не имеется;1672.8;Многоквартирный дом;572.0;Вытяжная вентиляция;Каменные, кирпичные;Центральное;Центральное;1977;Нет
6694705;с. Анзорей, пер. Речной, д. 5;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355236;Не заполнено;Не заполнено;43.939206;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
6694706;с. Анзорей, пер. Речной, д. 7;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Автономное;Не заполнено;Не заполнено;Не заполнено;Не заполнено;43.355236;Не заполнено;Не заполнено;43.939206;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
