,id,year,latitude,longtitude,wall_type,floors,gutter_type,address,entrance,gas_supply_type,living_rooms,warming_type,cold_water_type,hot_water_type,square,not_living_square,common_hold_square,living_square,base_addr,dist,norm_addr
5674,7603428,1966.0,55.62719,37.67556,Панельные,5.0,Наружные водостоки,"ул. Ереванская, д. 24, к. 2",6.0,Центральное,120,Центральное,Центральное,Центральное (закрытая система),5264.2,0.0,0.0,5264.26,"Ереванская улица, дом 24, корпус 2",0.0,"улица ереванская, дом_24, корпус_2"
18907,8042795,1965.0,55.81094,37.82559,Панельные,5.0,Наружные водостоки,"ш. Щелковское, д. 92, к. 3",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4520.6,0.0,725.0,4520.6,"Северное Измайлово Щёлковское шоссе, дом 92, корпус 3",0.0,"шоссе щелковское, дом_92, корпус_3"
677,8249531,1971.0,55.53425,37.16068,"Каменные, кирпичные",2.0,Отсутствует,"п. Первомайское, ул. Парковая, д. 6",1.0,Отсутствует,5,Центральное,Центральное,Отсутствует,364.9,56.8,0.0,312.3,"поселение Первомайское, посёлок Первомайское, Рабочая улица, дом 6",0.16666666666666666,"поселок  первомайское, улица парковая, дом_6"
17178,7673429,1962.0,55.67412,37.50701,Панельные,5.0,Не заполнено,"ул. Удальцова, д. 45",4.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),3547.0,0.0,0.0,3547.0,"улица Удальцова, дом 45",0.0,"улица удальцова, дом_45"
1549,7957367,1962.0,55.83805,37.54148,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Академическая Б., д. 53",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3452.9,30.5,1987.8,3422.4,"Большая Академическая улица, дом 53",0.4,"улица академическая б., дом_53"
18877,7559591,1965.0,55.81078,37.78942,Блочные,5.0,Наружные водостоки,"ш. Щелковское, д. 53",4.0,Центральное,110,Центральное,Центральное,Центральное (открытая система),3427.0,0.0,0.0,3427.0,"Щёлковское шоссе, дом 53",0.0,"шоссе щелковское, дом_53"
2708,8050604,1965.0,55.66243,37.58476,Панельные,5.0,Наружные водостоки,"ул. Болотниковская, д. 46, к. 1",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3526.5,0.0,0.0,3526.5,"Болотниковская улица, дом 46, корпус 1",0.0,"улица болотниковская, дом_46, корпус_1"
3022,7558800,1949.0,55.76004,37.73351,"Каменные, кирпичные",4.0,Наружные водостоки,"ул. Буракова, д. 25А",2.0,Центральное,22,Центральное,Центральное,Отсутствует,1720.5,382.4,102.9,1338.1,"Буракова улица, дом 25А",0.0,"улица буракова, дом_25а"
135,8730198,1997.0,55.53083,37.44691,"Каменные, кирпичные",9.0,Внутренние водостоки,"п. Воскресенское, д. 31",5.0,Центральное,110,Центральное,Центральное,Центральное (закрытая система),12933.8,0.0,3198.0,9735.8,"поселение Внуковское, посёлок Внуково, дом 31",0.6666666666666666,"поселок  воскресенское, дом_31"
13189,7559727,1966.0,55.74417,37.78311,Панельные,5.0,Наружные водостоки,"ул. Перовская, д. 46, к. 2",4.0,Центральное,80,Центральное,Центральное,Центральное (открытая система),3567.0,0.0,3567.0,2317.0,"Перовская улица, дом 46, корпус 2",0.0,"улица перовская, дом_46, корпус_2"
13565,8643902,1962.0,55.74634,37.76157,Панельные,5.0,Наружные водостоки,"ул. Плющева, д. 3",4.0,Центральное,72,Центральное,Центральное,Центральное (закрытая система),3473.7,5.0,0.0,3468.0,"улица Плющева, дом 3",0.0,"улица плющева, дом_3"
18265,8093330,1962.0,55.64436,37.61411,Блочные,5.0,Наружные водостоки,"б-р. Черноморский, д. 5, к. 2",5.0,Центральное,100,Центральное,Центральное,Центральное (закрытая система),4464.0,0.0,0.0,2981.5,"Черноморский бульвар, дом 5, корпус 2",0.0,"бульвар черноморский, дом_5, корпус_2"
7752,7673598,1962.0,55.67848,37.49346,Панельные,5.0,Не заполнено,"ул. Коштоянца, д. 7",5.0,Центральное,Не заполнено,Центральное,Центральное,Центральное (закрытая система),4520.0,45.0,0.0,4475.0,"улица Коштоянца, дом 7",0.0,"улица коштоянца, дом_7"
4435,7582508,1960.0,55.78302,37.46916,Смешанные,5.0,Наружные водостоки,"б-р. Генерала Карбышева, д. 19, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),4120.5,633.7,0.0,3486.8,"бульвар Генерала Карбышева, дом 19, корпус 3",0.0,"бульвар генерала карбышева, дом_19, корпус_3"
13960,7676959,1928.0,55.79087,37.71362,"Каменные, кирпичные",5.0,Наружные водостоки,"ул. Преображенский Вал, д. 24, к. 6",6.0,Центральное,92,Центральное,Центральное,Центральное (закрытая система),6678.0,1715.3,4079.65,4962.7,"улица Преображенский Вал, дом 24, корпус 6",0.0,"улица преображенский вал, дом_24, корпус_6"
16163,7996842,1957.0,55.8019,37.61141,"Каменные, кирпичные",4.0,Внутренние водостоки,"ш. Старомарьинское, д. 6",1.0,Отсутствует,16,Центральное,Центральное,Центральное (закрытая система),1163.0,228.0,0.0,935.0,"Старомарьинское шоссе, дом 6",0.0,"шоссе старомарьинское, дом_6"
6016,8646678,1965.0,55.75371,37.78928,Панельные,5.0,Наружные водостоки,"пр-кт. Зеленый, д. 29, к. 3",4.0,Центральное,80,Центральное,Центральное,Центральное (закрытая система),3528.6,1139.0,3116.9,2390.0,"Зелёный проспект, дом 29, корпус 3",0.0,"проспект зеленый, дом_29, корпус_3"
3670,7680677,1950.0,55.76045,37.7841,"Каменные, кирпичные",3.0,Наружные водостоки,"ул. Владимирская 3-я, д. 10А",2.0,Центральное,18,Центральное,Центральное,Отсутствует,1167.6,0.0,596.3,720.0,"3-я Владимирская улица, дом 10А",0.0,"улица владимирская 3-я, дом_10а"
11392,8022363,1965.0,55.84035,37.53122,"Каменные, кирпичные",9.0,Внутренние водостоки,"проезд. Новомихалковский 3-й, д. 17а",3.0,Центральное,108,Центральное,Центральное,Центральное (открытая система),4621.8,0.0,1683.9,4621.8,"3-й Новомихалковский проезд, дом 17А",0.0,"проезд. новомихалковский 3-й, дом_17а"
