id;address;year;base_type;build_year;cesspools_volume;cold_water_type;common_hold_square;electo_type;electro_inputs;elevators;energo_class;entrance;ext_info;face_type;fire_exting_type;floors;floors_min;garbage_chute_count;garbage_chute_type;gas_supply_type;gutter_type;hot_water_type;kap_rem_fund;land_plot_area;latitude;living_rooms;living_square;longtitude;manager;not_living_rooms;not_living_square;other;overlap_type;parking_area;playground;roof_type;roofing_type;rooms;seria;sportground;square;type;underground_square;vent_type;wall_type;warming_type;water_disposal_type;working_year;wreck
9061800;с. Андреевка, ул. Качинская, д. 36;;Ленточный;1968.0;Не заполнено;Центральное;93.14;Центральное;1.0;0.0;A;2.0;Не заполнено;Оштукатуренный;Отсутствует;2.0;2.0;0.0;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;679.76;44.816168;16.0;605.1;33.563907;Не заполнено;0.0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Плоская;Из рулонных материалов;16.0;Каменный, кирпичный;Не заполнено;698.24;Многоквартирный дом;0.0;Приточная вентиляция;Каменные, кирпичные;Центральное;Центральное;1968.0;Нет
9061803;с. Андреевка, ул. Качинская, д. 60;;Ленточный;1969.0;Не заполнено;Центральное;69.29;Центральное;1.0;0.0;A;2.0;Не заполнено;Окрашенный;Отсутствует;2.0;2.0;0.0;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;732.9;44.816168;14.0;602.7;33.563907;Не заполнено;0.0;0.0;Не заполнено;Железобетонные;0.00;Не имеется;Плоская;Из рулонных материалов;14.0;Не заполнено;Не имеется;671.99;Многоквартирный дом;0.0;Приточная вентиляция;Блочные;Центральное;Центральное;1969.0;Нет
9061777;с. Андреевка, ул. Морская, д. 1;;Ленточный;1987.0;Не заполнено;Центральное;65.46;Центральное;1.0;0.0;A;2.0;Не заполнено;Оштукатуренный;Отсутствует;2.0;Не заполнено;Не заполнено;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;717.01;44.611862;12.0;611.0;33.520644;Не заполнено;0.0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);12.0;Не заполнено;Не заполнено;676.46;Многоквартирный дом;416.7;Приточная вентиляция;Блочные;Центральное;Центральное;1987.0;Нет
9061779;с. Андреевка, ул. Морская, д. 2;;Ленточный;1987.0;Не заполнено;Центральное;468.1;Центральное;1.0;0.0;A;2.0;Не заполнено;Оштукатуренный;Отсутствует;2.0;2;Не заполнено;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;718.22;44.816168;12.0;609.3;33.563907;Не заполнено;0.0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);12.0;Не заполнено;Не заполнено;1077.4;Многоквартирный дом;417.6;Приточная вентиляция;Блочные;Центральное;Центральное;1987.0;Нет
9061781;с. Андреевка, ул. Морская, д. 3;;Ленточный;1989.0;Не заполнено;Центральное;497.7;Центральное;1.0;0.0;A;3.0;Не заполнено;Оштукатуренный;Отсутствует;3.0;3;Не заполнено;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;873.37;44.816168;18.0;913.1;33.563907;Не заполнено;0.0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18.0;Не заполнено;Не заполнено;1410.8;Многоквартирный дом;423.5;Приточная вентиляция;Блочные;Центральное;Центральное;1989.0;Нет
9061782;с. Андреевка, ул. Морская, д. 5;;Ленточный;1989.0;Не заполнено;Центральное;486.8;Центральное;1.0;0.0;A;3.0;Не заполнено;Оштукатуренный;Отсутствует;3.0;3;Не заполнено;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;875.18;44.819244;18.0;909.79;33.561194;Не заполнено;0.0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18.0;Не заполнено;Не заполнено;1396.59;Многоквартирный дом;412.9;Приточная вентиляция;Блочные;Центральное;Центральное;1989.0;Нет
9087167;с. Андреевка, ул. Морская, д. 6;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;44.819244;Не заполнено;Не заполнено;33.561194;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет данных;Нет данных;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Не заполнено;Нет
9061783;с. Андреевка, ул. Морская, д. 7;;Ленточный;1990;Не заполнено;Центральное;511.3;Центральное;1;0;A;3;Не заполнено;Оштукатуренный;Отсутствует;3;3;0;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;918.24;44.609006;18;920.4;33.521318;Не заполнено;0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18;Не заполнено;Не имеется;1431.7;Многоквартирный дом;425.7;Приточная вентиляция;Блочные;Центральное;Центральное;1990;Нет
9061784;с. Андреевка, ул. Морская, д. 9;;Ленточный;1992;Не заполнено;Центральное;432.4;Центральное;1;0;A;3;Не заполнено;Оштукатуренный;Отсутствует;3;3;Не заполнено;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;926.0;44.816168;18;924.2;33.563907;Не заполнено;0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18;Не заполнено;Не заполнено;1356.6;Многоквартирный дом;358.1;Приточная вентиляция;Блочные;Центральное;Центральное;1992;Нет
9061787;с. Андреевка, ул. Морская, д. 11;;Ленточный;1995;Не заполнено;Центральное;503.4;Центральное;1;0;A;3;Не заполнено;Оштукатуренный;Отсутствует;3;3;Не заполнено;Отсутствует;Отсутствует;Наружные водостоки;Отсутствует;Не определен;911.6;44.60857;18;896.8;33.521497;Не заполнено;0;0.0;Не заполнено;Железобетонные;Не заполнено;Не заполнено;Скатная;Из волнистых и полуволнистых асбестоцементных листов (шиферная);18;Не заполнено;Не заполнено;1400.2;Многоквартирный дом;415.8;Приточная вентиляция;Блочные;Центральное;Центральное;1995;Нет
