,id,address,base_addr,dist
26709,7579328,"улица Соколиной Горы 8-я, д. 3","8-я улица Соколиной Горы, дом 3",0.25
16544,7996710,"проезд. Марьиной Рощи 1-й, д. 11","1-й проезд Марьиной Рощи, дом 11",0.25
15184,7645720,"улица Линии Октябрьской Железной Дороги, д. 6","улица Линии Октябрьской Железной Дороги, дом 6",0.25
15183,7645714,"улица Линии Октябрьской Железной Дороги, д. 4А","улица Линии Октябрьской Железной Дороги, дом 4А",0.25
28342,8065600,"улица Текстильщиков 7-я, д. 3/1","7-я улица Текстильщиков, дом 3/1",0.25
6554,7677733,"улица Владимирская 1-я, д. 39/12","1-я Владимирская улица, дом 39/12",0.25
22419,7916844,"переулок Петра Алексеева 1-й, д. 2","2-й переулок Петра Алексеева, дом 1",0.25
16571,7996749,"улица Марьиной Рощи 4-я, д. 4А","4-я улица Марьиной Рощи, дом 4А",0.25
16541,7996714,"проезд. Марьиной Рощи 17-й, д. 2","2-й проезд Марьиной Рощи, дом 17",0.25
26687,7579304,"улица Соколиной Горы 5-я, д. 19","5-я улица Соколиной Горы, дом 19",0.25
26672,7557843,"улица Соколиной Горы 3-я, д. 12А","3-я улица Соколиной Горы, дом 12А",0.25
30775,8098328,"улица Черногрязская 2-я, д. 11/15","2-я Черногрязская улица, дом 11/15",0.25
26677,7557977,"улица Соколиной Горы 3-я, д. 19Б","3-я улица Соколиной Горы, дом 19Б",0.25
16574,7996752,"улица Марьиной Рощи 4-я, д. 8А","4-я улица Марьиной Рощи, дом 8А",0.25
6668,8644078,"улица Владимирская 3-я, д. 32/31","3-я Владимирская улица, дом 32/31",0.25
1963,7566367,"проспект 40 лет Октября, д. 18/13","проспект 40 лет Октября, дом 18/13",0.25
21708,7561950,"улица Парковая 6-я, д. 20/53","6-я Парковая улица, дом 20/53",0.25
15188,7645733,"улица Линии Октябрьской Железной Дороги, д. 12","улица Линии Октябрьской Железной Дороги, дом 12",0.25
17470,8152609,"переулок Михалковский 3-й, д. 13/25","3-й Михалковский переулок, дом 13/25",0.25
26668,7579355,"улица Соколиной Горы 10-я, д. 26А","10-я улица Соколиной Горы, дом 26А",0.25
26720,7579337,"улица Соколиной Горы 8-я, д. 20","8-я улица Соколиной Горы, дом 20",0.25
26676,7557964,"улица Соколиной Горы 3-я, д. 19А","3-я улица Соколиной Горы, дом 19А",0.25
15186,7645727,"улица Линии Октябрьской Железной Дороги, д. 10","улица Линии Октябрьской Железной Дороги, дом 10",0.25
22419,7916844,"переулок Петра Алексеева 1-й, д. 2","2-й переулок Петра Алексеева, дом 1",0.25
6632,7554321,"улица Владимирская 2-я, д. 59/39","2-я Владимирская улица, дом 59/39",0.25
16313,7569425,"бульвар Маршала Рокоссовского, д. 2/3","бульвар Маршала Рокоссовского, дом 2/3",0.2857142857142857
19536,8022404,"проезд. Новомихалковский 1-й, д. 4","1-й Новомихалковский проезд, дом 4",0.2857142857142857
21152,7717303,"переулок Очаковский 1-й, д. 4","1-й Очаковский переулок, дом 4",0.2857142857142857
21507,8042170,"улица Парковая 15-я, д. 48","15-я Парковая улица, дом 48",0.2857142857142857
11770,7574441,"улица Карачаровская 2-я, д. 2а","2-я Карачаровская улица, дом 2А",0.2857142857142857
23954,7554208,"улица Прядильная 3-я, д. 11","3-я Прядильная улица, дом 11",0.2857142857142857
19539,8022424,"проезд. Новомихалковский 1-й, д. 10","1-й Новомихалковский проезд, дом 10",0.2857142857142857
24908,7631531,"улица Рыбинская 3-я, д. 12","3-я Рыбинская улица, дом 12",0.2857142857142857
19571,9105536,"проезд. Новомихалковский 4-й, д. 10","4-й Новомихалковский проезд, дом 10",0.2857142857142857
14541,7653689,"улица Лазенки 6-я, д. 28","6-я улица Лазенки, дом 28",0.2857142857142857
26266,7854565,"улица Синичкина 2-я, д. 9","2-я улица Синичкина, дом 9",0.2857142857142857
19600,8162813,"улица Новоостанкинская 3-я, д. 19","3-я Новоостанкинская улица, дом 19",0.2857142857142857
6645,7680672,"улица Владимирская 3-я, д. 10","3-я Владимирская улица, дом 10",0.2857142857142857
21521,7665780,"улица Парковая 16-я, д. 7","16-я Парковая улица, дом 7",0.2857142857142857
19542,8022439,"проезд. Новомихалковский 3-й, д. 1","3-й Новомихалковский проезд, дом 1",0.2857142857142857
18632,7717150,"улица Наташи Ковшовой, д. 7/1","улица Наташи Ковшовой, дом 7/1",0.2857142857142857
14253,8905485,"улица Курьяновская 1-я, д. 53А","1-я Курьяновская улица, дом 53А",0.2857142857142857
30212,7556426,"улица Хорошевская 3-я, д. 7","3-я Хорошёвская улица, дом 7",0.2857142857142857
12623,7628328,"улица Кожуховская 6-я, д. 29Б","6-я Кожуховская улица, дом 29Б",0.2857142857142857
18631,7717147,"улица Наташи Ковшовой, д. 5/2","улица Наташи Ковшовой, дом 5/2",0.2857142857142857
23942,7560572,"улица Прядильная 2-я, д. 8","2-я Прядильная улица, дом 8",0.2857142857142857
28366,7602064,"улица Текстильщиков 8-я, д. 5В","8-я улица Текстильщиков, дом 5В",0.2857142857142857
13533,8098664,"проезд. Красногвардейский 1-й, д. 20","1-й Красногвардейский проезд, дом 20",0.2857142857142857
26265,7854553,"улица Синичкина 2-я, д. 7","2-я улица Синичкина, дом 7",0.2857142857142857
12577,7875128,"улица Кожуховская 5-я, д. 6","5-я Кожуховская улица, дом 6",0.2857142857142857
19561,8022363,"проезд. Новомихалковский 3-й, д. 17а","3-й Новомихалковский проезд, дом 17А",0.2857142857142857
15576,7670957,"проезд. Люберецкий 1-й, д. 9","1-й Люберецкий проезд, дом 9",0.2857142857142857
12610,7627682,"улица Кожуховская 6-я, д. 13","6-я Кожуховская улица, дом 13",0.2857142857142857
13543,8098688,"проезд. Красногвардейский 2-й, д. 10","2-й Красногвардейский проезд, дом 10",0.2857142857142857
18497,7564601,"улица Напрудная 1-я, д. 34","1-я Напрудная улица, дом 34",0.2857142857142857
19546,8022454,"проезд. Новомихалковский 3-й, д. 5","3-й Новомихалковский проезд, дом 5",0.2857142857142857
6570,7680651,"улица Владимирская 2-я, д. 9Г","2-я Владимирская улица, дом 9Г",0.2857142857142857
6664,8644066,"улица Владимирская 3-я, д. 28","3-я Владимирская улица, дом 28",0.2857142857142857
7459,7553500,"переулок Вятский 4-й, д. 20","4-й Вятский переулок, дом 20",0.2857142857142857
19554,8022487,"проезд. Новомихалковский 3-й, д. 11","3-й Новомихалковский проезд, дом 11",0.2857142857142857
21401,7559850,"улица Парковая 13-я, д. 14","13-я Парковая улица, дом 14",0.2857142857142857
23935,7560537,"улица Прядильная 1-я, д. 14","1-я Прядильная улица, дом 14",0.2857142857142857
6590,7680285,"улица Владимирская 2-я, д. 22","2-я Владимирская улица, дом 22",0.2857142857142857
19562,8022500,"проезд. Новомихалковский 3-й, д. 18","3-й Новомихалковский проезд, дом 18",0.2857142857142857
29524,7727357,"улица Филевская 3-я, д. 10","3-я Филёвская улица, дом 10",0.2857142857142857
17464,8152596,"переулок Михалковский 3-й, д. 5","3-й Михалковский переулок, дом 5",0.2857142857142857
28368,7602078,"улица Текстильщиков 8-я, д. 7А","8-я улица Текстильщиков, дом 7А",0.2857142857142857
26271,7854431,"улица Синичкина 2-я, д. 15","2-я улица Синичкина, дом 15",0.2857142857142857
21740,7562084,"улица Парковая 7-я, д. 21а","7-я Парковая улица, дом 21А",0.2857142857142857
5194,7700610,"проезд. Ботанический 2-й, д. 6","2-й Ботанический проезд, дом 6",0.2857142857142857
6509,7561239,"улица Владимирская 1-я, д. 9А","1-я Владимирская улица, дом 9А",0.2857142857142857
